Date	Vendor	Description	Category	Amount
4/2	airgas	Airgas	Facility Services	86.05
4/3	airgas	Airgas	Facility Services	86.05
4/4	airgas	Airgas	Facility Services	86.05
4/5	bik rchg	BIK Rchg	Facility Services	60
4/6	computing device support rchg	Computing Device Support Rchg	Facility Services	8.26
4/7	locknetics	Locknetics	Facility Services	826.28
4/8	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	9.87
4/9	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	20.56
4/10	hampton research	HAMPTON RESEARCH	Screens	809.76
4/11	molecular dimensions	MOLECULAR DIMENSIONS	Screens	195.3
4/12	molecular dimensions	MOLECULAR DIMENSIONS	Screens	218.09
4/13	molecular dimensions	MOLECULAR DIMENSIONS	Screens	228.94
4/14	network recharge	Network Recharge	Facility Services	25.96
4/15	qiagen	qiagen	Screens	282
4/16	qiagen	qiagen	Screens	282
4/17	qiagen	qiagen	Screens	282
4/18	qiagen	qiagen	Screens	
4/19	ttp labtech	TTP LABTECH	TTP Labtech	5316.5
4/20	ttp labtech	TTP LABTECH	TTP Labtech	6972.3
4/21	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	7
4/22	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	7.93
4/23	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	8.4
4/24	vwr international	VWR INTERNATIONAL	Lab Supplies	251.46
5/1	airgas	Airgas	Facility Services	86.05
5/2	airgas	Airgas	Facility Services	86.05
5/3	cmptg dvc sprt rchg	cmptg dvc sprt rchg	Facility Services	8.26
5/4	locknetics	Locknetics	Facility Services	762.72
5/5	gen/auto/liab	gen/auto/liab	Facility Services	9.87
5/6	gen/auto/liab	gen/auto/liab	Facility Services	20.56
5/7	hampton research	hampton research	Screens	555.52
5/8	hampton research	hampton research	Screens	51.21
5/9	hampton research	hampton research	Screens	798.56
5/10	network recharge	network recharge	Facility Services	25.96
5/11	qiagen	Qiagen	Screens	288.25
5/12	qiagen	Qiagen	Screens	288.25
5/13	sapphire	Sapphire	Screens	704.25
5/14	uline	Uline	Lab Supplies	105.66
5/15	vpl	VPL	Facility Services	26.11
5/16	vpl	VPL	Facility Services	0.63
5/17	vpl	VPL	Facility Services	9.85
5/18	vpl	VPL	Facility Services	9.45
6/7/2018	airgas	Airgas	Facility Services	86.05
6/21/2018	airgas	Airgas	Facility Services	88.63
6/30/2018	airgas	Airgas	Facility Services	88.63
6/8/2018	bik rchg	BIK Rchg	Facility Services	80
6/18/2018	bik rchg	BIK Rchg	Facility Services	40
6/29/2018	cdw-government	CDW-Government	Lab Supplies	389.52
6/30/2018	cmptg dvc sprt rchg	cmptg dvc sprt rchg	Facility Services	20.03
6/26/2018	formulatrix	Formulatrix	Formulatrix	888.71
6/30/2018	locknetics	Locknetics	Facility Services	1271.2
6/30/2018	gen/auto/liab	gen/auto/liab	Facility Services	9.99
6/30/2018	gen/auto/liab	gen/auto/liab	Facility Services	23.14
6/30/2018	network recharge	network recharge	Facility Services	25.96
6/11/2018	qiagen	Qiagen	Screens	288.25
6/11/2018	qiagen	Qiagen	Screens	288.26
6/13/2018	qiagen	Qiagen	Screens	284.08
6/13/2018	qiagen	Qiagen	Screens	284.08
6/13/2018	qiagen	Qiagen	Screens	284.1
7/31/2018	locknetics	LOCKNETICs	Facility Services	0.88
7/18/2018	airgas	airgas	Facility Services	88.63
7/10/2018	qiagen	qiagen	Screens	300.75
7/10/2018	vwr international	VWR INTERNATIONAL	Lab Supplies	251.46
7/23/2018	qiagen	qiagen	Screens	288.25
7/23/2018	qiagen	qiagen	Screens	288.26
7/25/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	0.21
7/25/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	0.42
7/25/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	0.42
7/25/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	1.47
7/25/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	1.47
7/25/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	7.37
7/25/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	9.7
7/31/2018	pourmal, sergei	POURMAL, SERGEI	Misc	108.49
7/31/2018	computing device support rchg	COMPUTING DEVICE SUPPORT RCHG	Facility Services	20.06
7/31/2018	network recharge	Network Recharge	Facility Services	25.96
7/31/2018	locknetics	LOCKNETICS	Facility Services	936.7
7/26/2018	bik rchg	BIK Rchg	Facility Services	80
7/31/2018	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	10.68
7/31/2018	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	20.59
8/3/2018	airgas	AIRGAS	Facility Services	88.63
8/16/2018	airgas	airgas	Facility Services	88.63
8/30/2018	airgas	airgas	Facility Services	88.63
8/27/2018	anatrace	ANATRACE	Screens	256.06
8/27/2018	anatrace	ANATRACE	Screens	256.06
8/15/2018	bik rchg	BIK Rchg	Facility Services	80
8/31/2018	computing device support rchg	COMPUTING DEVICE SUPPORT RCHG	Facility Services	19.79
8/31/2018	locknetics	LOCKNETICS	Facility Services	674.65
8/31/2018	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	10.68
8/31/2018	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	20.3
8/31/2018	network recharge	Network Recharge	Facility Services	25.76
8/8/2018	qiagen	qiagen	Screens	279.92
8/8/2018	qiagen	qiagen	Screens	279.92
8/8/2018	qiagen	qiagen	Screens	279.92
8/8/2018	qiagen	qiagen	Screens	279.92
8/8/2018	qiagen	qiagen	Screens	279.92
8/8/2018	qiagen	qiagen	Screens	279.92
8/9/2018	ttp labtech	TTP LABTECH	TTP Labtech	206.42
8/9/2018	ttp labtech	TTP LABTECH	TTP Labtech	271.6
8/9/2018	ttp labtech	TTP LABTECH	TTP Labtech	347.65
8/9/2018	ttp labtech	TTP LABTECH	TTP Labtech	1083.68
8/9/2018	ttp labtech	TTP LABTECH	TTP Labtech	1083.68
8/9/2018	ttp labtech	TTP LABTECH	TTP Labtech	5431.98
8/9/2018	ttp labtech	TTP LABTECH	TTP Labtech	7148.47
8/29/2018	vwr international	VWR INTERNATIONAL	Lab Supplies	251.46
9/10/2018	airgas	airgas	Facility Services	88.63
9/27/2018	airgas	airgas	Facility Services	88.63
9/25/2018	bik rchg	BIK Rchg	Facility Services	40
9/30/2018	computing device support rchg	COMPUTING DEVICE SUPPORT RCHG	Facility Services	56.39
9/13/2018	e&k scientific products	E&K SCIENTIFIC PRODUCTS	Lab Supplies	684.64
9/30/2018	locknetics	LOCKNETICS	Facility Services	708.38
9/30/2018	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	1.1
9/30/2018	gen/auto liability	GEN/AUTO LIABILITY	Facility Services	29.24
9/30/2018	mb gh s176 fabricate one namep	MB GH S176 FABRICATE ONE NAMEP	Facility Services	75.46
9/30/2018	network recharge	Network Recharge	Facility Services	42.05
9/12/2018	qiagen	qiagen	Screens	356.09
9/24/2018	rigaku americas corporation	RIGAKU AMERICAS CORPORATION	Screens	298.38
9/19/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	11.82
9/19/2018	vantage point logistics	VANTAGE POINT LOGISTICS	Facility Services	11.83
1/1/18			Salary/benefits	5240.78
2/1/18			Salary/benefits	4238.56
3/1/18			Salary/benefits	5690.58
4/1/18			Salary/benefits	5554.58
5/1/18			Salary/benefits	5553.91
6/1/18			Salary/benefits	3798.59
7/1/18			Salary/benefits	6007.35
8/1/18			Salary/benefits	2062.61
9/1/18			Salary/benefits	5081.42
